Reviews,food,Safety and Hygiene,location,value for money,hospitality
Good location.,2,2,2,2,2
Overall stay at Resort was good,2,2,2,2,2
Good resort with a great service. Food was decent and the private beach was fabulous!,2,1,2,1,2
Stayed for two days. Staff was great and room were cleaned. Food is awesome there. Loved the light music during dinner at Resort restauran,2,2,2,2,2
They had some renovation going on hotel which was not informed during booking due to which restaurant was closed and not a good variety of food was available. Food available in the menu was told not available when ordered. Hot water issues in the rooms. We were asked to change multiple rooms due to the unavailability of hot water. Overall stay was unsatisfactory.,0,0,1,0,1
"This hotel is worst i ever seen. Management don't have courtesy to provide good service. We have faced worst experience. The swimming pool is so bad the one feel to vomit seeing it. Not at all maintained. It is a water tank not a swimming pool. The location is far far away from wai. . They charged only high tariff & same not worth. Rooms were also unhygienic & were in poor condition, bad sheets were dirty, curtains were not there and the bathroom was big disappointment, there were very old design sanitary wear which need immediate replacement plus the only soap and shampoo were there in the name of toiletries. . They are very slow services. I can only advise pols pols dont book this hotel even in free of charge.",0,0,0,0,0
Stay is average but room quality is not value for money. Safety is ok and staff is slow in responding,1,1,2,0,1
"The room shows it has WiFi and TV, but actually it didn't. Also the room
 given was the staff room with very low profile room below dignity",2,1,2,1,1
They are not helpful at all. Worst hotel ever. Don't go.,0,0,0,0,0
"The stay was excellent, delicious breakfast and dinner. Had a good experience at Sadanira resort.",2,2,2,2,2
"Swimming pool is very dirty, food is very tasteless",0,0,2,1,1
Food is not tasty n room service is good,0,2,2,2,2
"It was a great a experience. Except the provision of hot water, all facilities were good.",2,1,2,2,2
Very good at all.,2,2,2,2,2
Hotel staff and food is also good. Location is 1/2 hour away from Kumbhalgarh Fort,2,2,1,2,2
"Hotel staff are very humble. Location of the hotel is near to the main road, very peaceful and natural place, surrounded by mountains & greenery.",2,2,2,2,2
"We spend a lot of money to stay at the hotel there are no hot water facilities, ac was not working, food quality was very poor, room landline not working, mosquitoes in swimming pool, dirty water. In short total waste of money. This is not accepted from MMT why they show this type of hotels in the list. I will never use MMT for further booking. I was just uninstalled the MMT on my phone.",0,0,1,0,1
"Best place with staff, quality food and environment",2,1,2,1,2
It was actually very satisfying stay for me the only thing to improve is room service (a-la-carte) everything else was outstanding. Excellent. Food was awesome especially non veg. View from my room was excellent,2,2,2,2,1
Good location and very cooperative staff. Got upgraded room and drinks are allowed. Bachelors are welcome too. Can go out for night safari for some adventure. Temperature reaches in negative at night sometimes,2,2,2,2,2
Rooms are nice but don't go for standard room. As it is not up to mark for stay. Delhi rooms are good but there is no intercom or bell to call reception. And also no network coverage in the whole area. So it was difficult to contact reception. One will have to go there in cold weather of December.,2,1,1,1,1
"The location was at a remote place however, the hospitality was good and ambience was good. The staff was very co-operative and they even tried finding about when are we checking when we were late in arriving and arranged food even after close of their kitchen.",2,2,1,2,2
"t is the worst place I have ever stayed, please delete it from MMT Worst place in the world, room are like store rooms, infact store room is a under statement, whoever wants to spoil the trip do book this Resort ( in no way it's close to any resort) it's a SHIT PLACE",0,0,1,0,0
"I booked by MMT. Both side they don't cancelled prior one week intimation. This is not a resort. Don't waste money. Food, acomodatoin and rooms are worst. Not to make advance payment. Not suggested ...",0,0,0,0,0
"Hotel is overpriced for the amenities. Hotel staff is humble and helpful. Lots of maintenance and hygiene issue. Intercom not working despite several effort of staff. Food is good, tasty, portion also good.",2,2,1,1,2
View from backside is very nice but the hotel n rooms structure are not so good,2,1,2,1,1
They didn't had any table in the room so that any one could eat anything. Food was very very expensive. They were charging rates of taj hotel for food quality of a road side dhaba. Little dal curry was spilled over the blanket by mistake. They charged us inr 1500 which was much higher than the cost of their blanket according to it's quality.,0,0,1,0,0
"Clean rooms, homely service. Room was spacious with ample lighting, cleanliness, and a refreshing room freshner available. The staff was courteous, the owner is a social worker and since we did not had a vehicle in the city, lent his scooty for free and greeted us with smile. Good and economic hotel.",2,2,2,2,2
"It was a pleasure staying here, clean rooms and hygienic washroom, all staff were very nice and helpful. The Darban who opens the main door for guests should be provided with a chair to sit, he does his job very meticulously. The only con about this property is that the service at the restaurant was slightly slow, apart from that the property is great. Cheers to team Radisson Gwalior for making us feel safe in Covid times.",2,2,2,2,1
"I have stayed at the hotel for 4 nights. It was an excellent stay and i enjoyed the stay. The hotel staff are so courteous and helpful. The hotel is thoroughly following the covid 19 protocol for its cleaning and hygiene. I would like to mention a crew name ankita bowmick, who has even organised me a nail cutter by which my stay was comfortable.",2,2,2,2,2
"Location is good. Food dinner was good. Breakfast could be better with a few kid friendly items french fries, potato wedges, chicken salaami, cakes, muffins. Dining are was overcrowded in breakfast time. There were guests waiting and social distancing was not being followed. May be because the hotel was running full",1,2,2,2,1
"Hotel facility are very poor, no floor towel, no iron, no hair dryer, for everything you have to request the house keeping. Bathroom lock was not working, room size is average, view is very poor, you see another room only. Lobby food quality is average. In-room dining was somehow better. Water bottle placed was very ordinary. I rate it equal to 3 star hotel only. Stairs / emergency exit was badly sticking and spotted with red spot like blood, i don't know what it was. And smelling badely. It's was horror experience to use stairs as this was only 1st floor so thought let's enjoy calories loss. But it went wrong. Only 4 floor available so forget high rise.",1,0,0,1,0
Location is good and in heart of the city.,2,2,2,2,2
"The room is just normal compare to 3rd floor, 3rd floor room is better compare to 2nd. Also the food quality is decreased from my previous stay.",2,1,1,1,2
They do not have wallet parking but you have to park your car in an open area ; no one will come to pick you even at gate ; staff except reception doesn’t wear mask ; the bath room don’t even have privacy. Hard to believe they called themselves 5 start,1,0,1,0,0
"The property is located in city center, it was quite clean, well sanitized and hygienic. The food was good and staff the staff is very courteous.",2,2,2,2,2
I stayed for 2 days there as a business traveller and find it a good experience,2,2,2,2,2
"For me the breakfast experience was a bit unpleasant it was over crowded, there weren't tables to sit. Food wasn't being placed on counter, there were empty bowls and people were asking the staff to refill them. Also the service was extremely slow and really rude manager. I will not be having breakfast here again, i’d rather order in my room and enjoy the breakfast peacefully. Also, i found a cockroach on my bathroom",1,0,2,1,1
"Sanitizer liquid provided in lifts, lobby, gym, restaurant. Hotel has taken care of all safety precautions. It's the people who are not following the same. People are educated enough to stay in such good hotels but more ignorant and irresponsible. Fighting against corona is a collective responsibility. It's not only the responsibility of the hotel management. Please educate the ignorant.",2,2,2,2,2
The stay was comfortable given the fact that it is near to so many companies adds the value and it also makes it very convenient for anyone who is travelling here for official purpose. I stayed in business class so it was neat and clean and well managed and the breakfast being served was too good.,2,2,2,2,2
"Cleaning, maintenance and service was issue in hotel. We were group of 8 for two night in oct. Seepage issue was at 14th floor lift door. I think it was due to swimming pool which is on top. Service from front desk was not good for which i sent mail also to radisson",1,0,1,1,1
"Yeah i stayed for day was osm experience in this hotel, loved the room nice scenery, breakfast was osm, good staffs specially mr daniel the steward and mr anandrao (banquet manager) were very helpful and best. Love to visit again",2,2,2,1,2
"The hotel is located in hitech city, good location, food was okay looked like they are currently short staffed so the service was slow but overall the stay was good.",1,2,2,2,1
"Experience was bad shower was not working, request for the room change but not given the another room staff at the hotel was not given the good service",1,0,2,0,0
"We reached the hotel late in the evening. The reception was quick and the check in process was very smooth. Our stay spanned two nights. We mostly had the hotel 's vegetarian a la carte meals. The food was delicious and the restaurant was extremely hygienic. We had booked one room for an original period of one night, but due to certain reasons, we had to extend our stay The room was very comfortable and could perfectly accommodate four people. The beds were comfortable and the bathroom was very clean and hygienic. The breakfast selection was very wide and the quality was fantastic. The pool is small but well maintained. The hotel staff was very helpful and made our stay fantastic. We really enjoyed our stay at the Radisson Hotel and would definitely stay here the next time and hopefully for a longer period of time. It is a fantastic hotel with a fantastic staff which made out short stay a great one",2,2,2,2,2
"Right from the entry point till the time of check out, it was observed that the protocols were followed very strictly and utmost attention was being given to all guests as well as staff. I must say, the best ever hotel that I have stayed with during such a crisis period. Thanks to all who took all efforts to make my stay comfortable and safe.",2,2,2,2,2
"Located at madhapur, trident is a good place to stay. Big rooms, excellent service, good breakfast. Well connected by public transport through metro and bus.",2,1,2,2,2
"Breakfast was okay is and nothing great and plus new years day breakfast felt like a charity done by hotel to It's guests and nothing like it should be in a chain like trident. Thing was breakfast was complimentary and their new year brunch was too high plus tax, so they just shifted the breakfast to a room 1/4th the size and reduced the options from the previous day so more people come to their brunch. I will pick Radisson any day over trident next time. Better value for money and more friendly staff and has a better feel to it.",1,1,2,1,1
"While rooms are nice and comfortable never try their concierge services I was explicitly told by Mr. Piyush from concierge that they will help with check-in formalities inside airport for my parents, no one inside airport showed up from trident add to this is the callous chauffeurs they have , these people have only one job to do that is to take care of passengers they have and they can't even do that properly. Hotel did provide take away breakfast for very early check out the chauffeur however forgot to hand over the breakfast package to my parents while they were getting out, The concierge team at trident led by Mr. Piyush is overpriced over promised and are never fulfilled. Please avoid this place.",2,1,2,0,0
"Though the price may seem a bit high, but it commensurate the staff and their services in a very good ambience. Food at Kanak is delicious. Good location and as we stayed on the top floor, the city view is also great. Calm and secured, a very good place for those who wish to stay in the midst of the city, but away from the regular noise.",2,2,2,1,2
"Terrible experience. Lounge was full of mosquitoes. The chair in room was a little torn with cotton visible. Rooms do not have enough lighting in spite of switching all the lights. Service was one bad thing. Your request is always assured whenever you call the reception desk but not in real. My order was supposed to be at doorstep by 10 a.m. after multiple confirmations on the possibilities of availability, etc. Still I had to follow up till 2 p.m. for a different order than what I have asked for. On a whole I did not feel I was in Trident at all! Never again I would consider this group of hotels.",1,0,2,0,0
"Property has a good location but lack of staff, impolite staff, breakfast average",1,1,2,1,0
"My experience was nth g near to a 5 star experience. The washroom had leaks, the minibar was not filled, the glasses were not replaced but were washed and were not washed properly. The reception had no proper contact with the spa or the restaurant. The staff were polite, which took off some pain",1,0,1,1,2
Need more highinic and need to sanitize r and hand gloves need to provide and one sanitizer bottle need to provide,1,0,1,1,1
"The system was down when i had to check in. I had to wait for 40-45 mins when they said it will take 05 mins. I had to wait in the lobby. Though the front desk admin apologized and also sent a coffee and cookie to my room. But during the wait time in the lobby, no one asks you even for a water. That's sad. I mean my relatives own a good hotel, i would rate their hotel hospitality 1000% better than this. A glass or a small bottle of water, someone attending and asking you for tea doesn't cost much to the hotel i guess. Courtesy and care is above luxury. That's my personal opinion.",2,2,2,1,0
I love to stay at the lalit hotel as it is located in prime locality in new delhi; but this time i was a little bit disappointed to find the high standards of the hotel slightly lowered. This was noticed in the quality and cleanliness and appearance of bathroom amenities and towels and napkins and other things provided by the hotel; they were not of the superior quality they once used to be. Also the quality of food in the indian restaurant was mediocre and nothing to write home about.,1,0,2,1,1
The hotel is well located in central delhi and close to all places that are worth visiting in delhi. The service was exceptional. The food quality was excellent.The room was well sanitised. The common area is also well sanitised and maintained neat and clean.,2,2,2,2,2
I have been a fan of lalit since ages. But this time my stay was terrible to say the least. Dirty rooms dirty washrooms and no amenities in the rooms provided. The blankets were worn out. Food quantity and quality was extremely poor.,0,0,2,0,0
Extremely bad experience. Very rude ill mannered housekeeping staff. Specially jitendra. Long queues for breakfast. 1 hour wait for room dining. Staying here was a nightmare,1,1,2,1,0
"The Lalit hotel is very conveniently located just a 5 minutes walking distance from the metro station and Connaught Place. The hotel staff are very friendly and welcoming. The food was excellent, the breakfast buffet had a wide variety of quality food. We had arranged for a pick up from the airport and the hotel representative met us at the baggage carousel itself. Of course, it is a premium service, but we felt it was really worth. The room itself was nicely appointed, but small for two beds. The free WiFi was only for 1 hour per day. I thought these two were a bit below our expectation. Overall, my family and I enjoyed the stay in The Lalit.",2,2,2,2,2
"This is a good hotel at great business location. We got rooms on the twenty first floor which presented a nice view of Delhi city. We requested for connected rooms but could not get it though we placed the request a day back. With a delay of 45 minutes we got on same floor with two rooms apart. Both dinner and breakfast were good, but nothing was worth rememberable. Service was good and staff was helpful and polite. Comparing to other 5-Star properties the rooms are on a bit costly, side specifically considering the size of bathrooms, quality of accessories, quality of bed, etc.",1,2,2,1,2
"Perfect location in Connaught place. Fine sized rooms. Great service. We forgot something in hotel when checked out. Got a mail the next day that an item is in lost and found, so please collect. Buffet breakfast was just okay, nothing to boast about. Considering the reputation of the hotel, the facilities were just okay too. Don't expect anything complimentary as well. Wouldn't call it value for money.",1,1,2,0,1
"The Lalit is located in a good location . Connaught Place which is centrally located. The hotel is clean. Staff is friendly. Food is good. Breakfast spread is nice. However in the MMT aap it was mentioned that the room includes Bath tub, but the room did not have a Bath tub, so that was extremely unpleasant and a surprise. Please request MMT to mention correct descriptions while booking.",1,2,2,2,1
"Good stay nice hospitality and room service. Good rooms hygienic washrooms are also good and comfortable

",1,2,2,1,2
"My stay started with warm welcome and sensitising my bag which i like since we are in the covid situation, annu on front desk helped me with my check in which was really nice and hassle free. Each and everything was clean and all hotel staff were friendly. My room was clean and well maintained, food i've ordered was also good, bed was super comfortable overall my money i paid was worth staying.",1,2,2,2,2
"I have probably stayed here more than 12 times from 2016 onwards. I choose this hotel as It's in aerocity, with lots of green spaces for my morning jog and evening walks. Well connected by the airport line metro and good food, good service and well mannered staff. It's real value for money.",1,2,2,2,2
Food quality not up to the mark. No verities,0,1,1,1,1
Good location and property. Value for money.,2,2,2,2,2
"Room was nice and clean, staff are really very helpful. Overall experience was nice",1,2,2,2,2
"Safety protocols are being adhered to with so much precision and accuracy. The cars, public & private, both are being sanitized before entry. All the staff at all times are wearing masks, face shields & gloves and maintaining social distance. Proper temperature checks at the entrance for all every time, common areas are also sanitized at regular intervals. There are sanitizers placement at all possible common areas right from the restaurant entrance, multiple spots in the restaurant, washrooms, and elevators section on all floors. There is a slot system allotted for breakfast across 4 different time slots for all guests, limiting the number of people having breakfast and limiting the crowding. All the guests must sanitize and use disposable gloves before they head to the food section. The tables allotted to the guests are sanitized before they are allowed to the next guest. This is by far the best demonstration of safety & hygiene protocols at any hotel.",2,2,2,2,2
Shower water was luke warm at the max. Room cleaning floor manager showed attitude to guests. However i say that the in room dining staff member mr sanath was extremely impressive in behaviour. 5 star rating to him.,1,1,2,1,1
"My stay at the hotel was pleasant. I liked specially the room and cleanliness. However, the staff was non responsive. On encounter with them i got to know that some of the other customers were also facing the same problem. No one would attend the calls for room service. Further, the breakfast was good, however, some more basic menu may be included in order to have variety. The beverage as basic as espresso was not available.",1,2,2,2,0
"The location is decent enough. Amazing hospitality. Warm reception. Not too interfering which is something I liked. Amazing services coupled with stupendous facilities. A decent pool. Clean and spacious rooms with spacious washrooms. Amazing staff, very helpful. Their club(kitty su)wasn't open since we went on a Monday, but would love to try that out as well. The thing that I loved the most was it breakfast buffet spread. One of the best spreads I've ever been to. Amazing experience!",1,2,2,1,2
"The hotel staff was extremely courteous! The hotel decor and ambiance is really good despite being one of the oldest in the city and the restaurants within the hotel have a widespread menu which is amazing. The buffet breakfast is one of the best I've had at Indian hotels! The food was excellent, the rooms were excellent, the location is also perfect... 10 min from the airport. Value for money! Wonderful experience. Looking forward to visiting again!",2,2,2,2,2
"Very nice main lobby ambience. All the areas are quite spacious and well maintained. Rooms are nice and tidy and good size with all required amenities. While all is perfect and excellent about this hotel, it is the politeness and promptness of the staff that stands out. All are very eager to help at all times. And this is very good value for money too. While I travelled on business but this hotel is equally good for family stays as well. The hotel is almost just opposite to the international airport making it very convenient for all those who intend to travel through the international airport. Not very far from domestic airport either, however if your work is in other part of town or closer to domestic airport then you may want to consider other good five star options which may be more convenient and may help you save on travel time.",2,2,2,2,2
"Property location is good as it is just 1 km from the airport. Food in breakfast was good with variety of eggs, south indian food, paranthas etc. But the food ordered in in room dining is too much for a person and a bit costly. Like a biryani is sufficient for 3 person so it may lead to good wastage. Hygiene standards were followed and safety protocols were followed.",1,2,2,2,2
"Reached the hotel quite late in the night around 2.30am. The staff at the reception were quite indifferent. Was allocated a room which was quite run down considering Lalit’s stature - misty smell, broken or chipped flooring, peeling paints, electrical fittings ready to fall, dirty or marked furniture. Seemed like the guy at the reception thought he could palm off their worst rooms as I would be least bothered at such a time. Did call up the reception and they did change the room which was definitely befitting Lalit’s stature in away. Did call the duty manager and also informed him of the experience which I went through earlier and WhatsApped the photos as well to him. Most shocking and unfortunately highest standards of professionalism no apologies were either offered by the person at the reception or by Vinay the Duty Manager. Heights of overall unprofessionalism and not expected out of Lalit. Breakfast was at their cafe 24/7. Service here was super and sorry forgot the name of the person who was taking care of me. This guy was efficient, warm and superbly attentive. The spread did look huge and well spread out though it was more because of the accompaniments than the actual mains. The cafe was well Maintained though it overall gave a run down look. Overall not a pleasant experience",0,1,1,0,0
"It's the best hotel stay which I had in Mumbai and the location is very convenient. Rooms are spacious neat, tidy and very cordial staff. Nice breakfast, has nightclub as well. Value for money, lots of options like Gym, Swimming Pool, Spa etc. Would highly recommend.",1,2,2,2,2
"Excellent staff, very co operative, neat and clean room, with required facilities, the location is very good, near to the airport, the breakfast had a good spread with smiling staff ever ready to help, overall it was value for money.",2,2,2,2,2
Very nice hotel located in heart of the city. Clean rooms with all facilities ... Good Breakfast and silent sleep. Happy to stay again. Modern Hotel and very good staff. Service is little bit slow but perfect. Nice swimming pool with clean water. Lovely time ...,1,2,2,2,1
Staff behaviour is good. Food is also good. Location is not so good as compare to others. Not recommended to my friends as in the back of the hotel there is a lot of slum area near that. This is the minus point of the hotel also it is very far from the metro station.,1,2,0,1,2
My stay at lalit was amazing. Very clean and well maintained rooms. Nice location near airport. Very helpful staff with warm welcome. Breakfast was awesome. Lalit is highly recommended and one of finest budget hotel in recent time. Pleasant stay. Enjoyed a lot.,2,2,1,2,2
I believe the property is not only about beautiful rooms and locations! it’s more about the service and how you are made to feel! vets mumbai staff knows this best to keep the guests happy and offer the best of customer service right from checking to breakfast to room service to in room dining to checkout! please do keep up the good work of providing the best of service!,1,2,2,2,2
Near to airport n services was all good happy to stay their can also visit with family,2,2,2,2,2
"All staff are very cooperative start from Security Reception and Room service. Salman and Zoheb at Reception, Karan and Jugal at Room service all extraordinarily active and good with tr work. Keep it up",2,2,2,2,2
"A great experience. From the moment I checked in, I knew I was in good hands. They upgraded my room for free which felt great. Post check-in, I observed the staff. They were very friendly and helpful. Everyone was nice, from the reception to the cleaning staff. They were following proper covid protocols as well. The service was awesome. The only problem I faced was there was a slight delay in-room service, but I realized that they were shot on staff due to covid and they had many customers to deal with as it was the weekend. So I didn't mind at all. Despite that, I got everything that I needed. Even ordered food from outside (Swiggy, Zomato) which they allowed, some hotels don't allow that. It was truly a 5 star experience. I hope to visit again.",2,2,2,2,2
"For a 5 star property, the room condition at itc maratha was very poor. Smell of urine and from carpets was very prominent in one room, while the other room had cigarette smell in a non smoking room. After complain the linen of the bed was changed, which raised a doubt that do they change linen after guest checks out or just dust and put the same. Ozonizer machine was used in the other room compromising on health of my kids. Overall not a good experience",1,0,2,0,0
"My room no: was 1207. In this room not working any cellular network. Am staying 4 day in this room. This is worst experience in hotel. To call and had to go in to the lobby. I spoke several times to change the room. Front desk staff told me ""sir will do sir will do"" but 1st day to 5th day morning i faced problems. Nobody changed the room. This was wasting of money and wasting of time for me",1,1,1,1,0
"We had an excellent 2 nights stay at itc, the food and service was amazing. Hygiene was maintained due to covid in dining areas. The plates, cutlery and glasses were well sanitized. 2 issues that hotel can work upon : 1. The hotel was kind of overbooked and there was waiting for all meals at their main restaurant-peshawar pavilion for breakfast and lunch. We had to wait longer to get served. Hotel should open up other options for meals. Even though there was buffet, the chefs and stewards had to serve the dishes and hence this was leading to long queues and wait at the counters. 2. Hotel should have in room entertainment of all the ott platforms, they only have set top box dish tv to watch. Netflix or amazon prime should be available as entertainment since the pool and lawn areas were not operational. Overall complete value for money, the rooms are great and spacious and hotel cleanliness and sanitation is maintained throughout. We would love to visit again",2,2,2,2,2
Location was good. The food was overpriced like 5000+ taxes per pax dinner. The package breakfast was just ordinary. Service was pathetic. Baby food took 3 has to make and that too uncooked. The mood was spoiled at the entry of the hotel when we were asked to wait for 3. 5 has to check in our room as the room was not available. And moreover they gave us a different room other than pool view which was reserved by us. Have never ever been to a locker 5 star hotel in my life. And that to on the occasion of my birthday. Totally spoiled my and family's mood. Most importantly my children's. Will never recommend a Itc hotel to anyone. Disappointing Passage lights in the room was not working and the bathroom light was flickering. Pool room was promised and given back view room. Room check in took us 3 and half hours after literally begging for it. Hotel was oversold. Limited staff on such a event day was the reason for delayed service.,1,1,2,1,0
The hotel was amazing and the rooms and lobbies every area of that hotel was amazing and hygienic. The staff was so humble and helpful.,2,2,2,2,2
Well as we all are aware about Hospitality of Taj. The security was tight but on the other hand the staff was so courteous and soft spoken. From special cooking by chef for dinner to breakfast I enjoyed every moment of my stay. Food was awesome. I got the Gateway I mean sea view room the views of sea and the sound of water was an amazing experience. Must stay if you are in Mumbai. one of the most premium properties of India. wah Taj,2,2,2,2,2
"It is unbeaten when it comes to service and location. The heritage, regal ambiance and home like vibe is fabulous. Sea view rooms have a spectacular view but are a tad smaller. Also, no bathtub as only Taj palace rooms have bathtubs. But despite this tower rooms have better view as It's taller. Food is great as well. Absolutely worth the hype. Best luxury hotel in Mumbai hands down. Also, the staff is kind and isn't snooty unlike most five stars. Hats off.",2,2,2,2,2
"This hotel's hospitality begins to come alive the moment you enter the premises and you are made to feel at home instantly. It is the perfect location from all the famous tourist places, along with high luxurious spacious rooms and suites,paired with creative meeting and business facilities.",1,1,2,1,1
This restaurant is average but the staff is on point. Varun the captain is always attentive and professional. I think the staff makes this bar. I would come back for a this reason alone. Not only is Varun on top his fame but most of the staff is very professional.,1,1,1,1,2
Very good Food. You can ask for not so spicy and they will do it for you. We had a Business Dinner with many people and everybody was happy. Will for sure come back again during my trip.,2,2,2,2,2
"Eating delicious good food is my favourite thing in the whole world. Nothing is more blissful and i have absolutely got the best,Yummy and delicious food from The Foodie Restaurant.. The experience was glorious..Feels like a Home Food ! Warm Inviting Hospitality and Well maintained service.. Hope to get back soon..! HIGHLY RECOMMENDED from my side...!",2,2,2,2,2
"Maybe it was because of dussehra that the service of the place was extremely poor. We had to call people a number of times for table cleaning, and ordering the food. The food was tasty. That was the only good thing about the place.",2,0,1,1,0
Our most recent visit to this hotel changed our minds! It’s undergone a renovation and is simply lovely now. The staff was courteous and friendly as well. The room was clean and well appointed. Truly a big improvement!,2,2,2,2,2
"This restaurant is located 30-40 meters away from the bus stand. However, it was not easy to locate. They have the jungle theme restaurant offering north and south Indian food. I had Andhra Thali which was served with richness and complete in all respect and not costly too. I liked this place because the place was clean, tasty food , good ambiance and served well by the staff. Would recommend for families whose looking for clean and good food around the bus station.",2,2,1,2,2
I love the ambiance. The food is amazing and this is that one place where you won't go back home disappointed. Both vegetarian and non-vegetarian food is served. I love the way they have named their items in menu.,2,1,2,1,2
Services were good. Food was average. Good enough for a budget stay. Friendly staff. Really close to all the highlights in the city. Walkable from the palace and also from the market.,1,1,2,2,2
"I went there with my family, and we all loved the facilities of this lovely place. The staff is very supportive and professional. The Food is delicious and pocket friendly. I would love to visit once again.",2,2,2,2,2
"The hotel is in a good location, but it is a very old hotel having very small rooms such that one cannot even walk in the room. We were given old bedspreads and towels in the room . The bar and the restaurant is altogether very expensive. It was not a good experience.",1,0,2,0,0
"The restaurant has a lunch buffet with north indian food. It's not high quality, but the taste is average. The big surprise came when we had to pay: Rs 480 per person. It felt like a rip off. Perhaps it was since we were western tourists. We've been at other places in Mysore with higher quality food where we paid less than Rs 200. This restaurant was highly overpriced.",1,1,1,0,1
"The hotel is good for stay as it is in the centre for all the sightseeing. The hotel offers good services, average hygiene, and the restaurant on the roof-top is amazing. Ambience is superb all together. ",1,1,2,2,2
"The blanket provided to our rooms was dirty, the old window type A/C was not working properly, the washrooms were dirty. I had made the booking for 2 people, but the hotel provided for only 2 people. Breakfast was good. But the food provided at the rooftop restaurant was overpriced, and not worth the money.",1,0,1,0,0
"The first and most important fact is that the hotel is in a good location. The hotel was very close to the bus stand, which was convenient. I am happy with staff and the facilities provided for a decent amount.",1,1,2,2,2
"I visited the restaurant after quite some time. I was happy to see that they are still maintaining the ambience, quality and price. The food and the staff was  excellent, as usual.",2,2,2,2,2
"I got bumped up into a suite- so that was great! But, it did not feel much like a suite.  The hotel staff members are very courteous and supportive. The rooms are clean, but needs improvement. Compared to other hotels, the rooms are outdated. The restaurant has a cave and jungle theme, giving a pleasant experience. The complimentary breakfast provided is very limited and mediocre.",1,1,2,1,2
The hotel was situated in a prime location which was a very big advantage as most of the places were walking distance. They had comfortable bedding. The room was neat and tidy. Breakfast was very good. Had a good stay.,2,1,2,2,2
"Overall a good hotel. The rooms are well maintain, the food is very delicious with several varieties. The hotel reception staff, manager, and restaurant staff were very cooperative.It was overall wonderful experience for our group.",2,2,1,1,2
"It was an excellent experience again. I have been here many times, yet you can compare the service here even the food taste! The restaurant staff and manager treat each guest with utmost care and hospitality. Totally worth the cost!",2,2,1,2,2
"Hotel is a bit old but location is just perfect. The rooftop restaurant is neat and clean, serving all kinds of food. The price is quite reasonable. However I am not at all satisfied with the room quality. The bathroom is too small and there were insects inside. Moreover, after a round of heavy rainfall one side of our room was filled up with water. So go for it, if location is very important for you and you are staying only for a day/night.",2,0,2,2,1
"The Hotel rooms were neat and clean, charges were reasonable and breakfast buffet was just great.",2,2,2,2,2
Very small room and tiny bathrooms. Maybe it is good for 1 person and 1-night stay. Not recommended for families. Room service was not provided even after informing the staff.,1,0,1,1,0
"Hotel room cleanliness and design was average. As per the charges, it was not up to the mark. Bathrooms were not cleaned, and the food served was cold. Overall at a similar rate, I could have booked a better hotel.",0,0,1,0,0
When we walked into the hotel we were immediately given a warm welcome which was particularly nice after travelling so far. Our room was very comfortable. The restaurant was superb. Food was very good and the choice was amazing.,2,2,1,1,2
The room was sanitised and spotless. The food was delicious as well. The staff was very helpful with assisting me in scheduling and organising the tour.,2,2,1,1,2
"Excellent service provided by the hotel staff. Especially the staff from 24/7 where we had our lunch & dinner we had excellent food with an excellent service. Me and family really liked the hotel, the rooms were well maintained with comfortable beds.",2,2,1,1,2
"Location was good, right in the prime area close to all major attraction points. Rooms were spacious enough and comfortable for the sound sleep.",1,2,2,1,2
Ambience was awesome and yes food was delicious and had a great variety which was really wow for me.,2,2,2,2,2
Personalized service that went way beyond expectations. Breakfast was delicious every morning.,2,2,1,2,2
"Very Nice & clean property, with a lavish breakfast & that too value for money",2,2,1,2,1
Room cleanliness and staff behaviour was very good. Food was delicious.,2,2,1,1,2
"Cleanliness, service, food, ambience, everything was outstanding",2,2,1,1,2
Amazing room and helpful staff. Worth visiting next time as well!,2,2,2,2,2
"Very bad experience. The walls of the rooms were very thin, and the room was not cleaned properly, even after requesting the staff and the hotel manager.",1,0,1,0,0
"Rooms, ambience, cleanliness is good but food service is not available.",0,2,1,1,1
"Convenient location, great facilities and friendly staff",1,1,2,1,2
"Great place to stay- very welcoming staff, always here to help! The rooms are amazing, very clean and spacious. Great restaurant!",1,2,1,1,2
"The restaurants, room service and food are awesome. There is enormous variety. Staff is excellent.",2,1,0,1,2
The hotel exceeded our expectations in every single way! The staff were amazing! The room was amazing!,2,2,2,2,2
Extremely courteous and prompt staff. Everyone was willing to walk that extra mile to make it a memorable experience.,2,2,1,2,2
Clean and Comfortable rooms. Professional staff. Impressive service.,1,2,1,2,2
Really loved the room. It was pretty spacious as compared to rooms of other hotels. The bathroom was pretty spacious and clean as well.,1,2,1,1,1
The hotel is beautifully located on the main street. Rooms are super clean and the staff is very well behaved.,1,2,2,0,2
"Very comfortable room. Staff was very welcoming, and made our stay really comfortable. Breakfast was great and delicious, with a lot of variety.",2,2,1,2,2
The room allocated to us was very beautiful and comfortable. The price was very reasonable and the breakfast was excellent.,2,2,1,2,1
Very well maintained hotel and rooms. Thr staff members were very friendly and courteous. We arrived earlier than expected by a few hours. Our room was prioritised and we were able to check in early free of charge. This was very helpful and appreciated as we were quite tired after a long flight.,1,2,1,2,2
"awesome location, reliable staff and comfortably big rooms",1,1,2,1,2
"Considering location, rooms, facilities, breakfast, other foods and serving staffs, this hotel is the right choice.",2,1,1,1,2
